2015-04-24 00:04:10 uri:/robots.txt; code:404; msg:Unable to find a route to match the URI: robots.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: robots.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-24 00:30:41 uri:/robots.txt; code:404; msg:Unable to find a route to match the URI: robots.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: robots.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-24 02:00:29 uri:/team/contact; code:404; msg:The requested URL team/contact was not found on this server.-HTTP_Exception_404 [ 404 ]: The requested URL team/contact was not found on this server. ~ SYSPATH/classes/kohana/request/client/internal.php [ 87 ]; referer:
2015-04-24 03:13:12 uri:/robots.txt; code:404; msg:Unable to find a route to match the URI: robots.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: robots.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-24 03:51:24 uri:/robots.txt; code:404; msg:Unable to find a route to match the URI: robots.txt-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: robots.txt ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-24 03:58:03 uri:/index!OAIndex.action; code:404; msg:Unable to find a route to match the URI: index!OAIndex.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: index!OAIndex.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-24 03:58:04 uri:/userInfoAction.action; code:404; msg:Unable to find a route to match the URI: userInfoAction.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: userInfoAction.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-24 03:58:04 uri:/admin/install!license.action; code:404; msg:Unable to find a route to match the URI: admin/install!license.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: admin/install!license.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-24 03:58:04 uri:/admin/index.action; code:404; msg:Unable to find a route to match the URI: admin/index.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: admin/index.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-24 03:58:04 uri:/login.jsp; code:404; msg:Unable to find a route to match the URI: login.jsp-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: login.jsp ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-24 03:58:04 uri:/siteEnter.action; code:404; msg:Unable to find a route to match the URI: siteEnter.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: siteEnter.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-24 03:58:04 uri:/login!init.action; code:404; msg:Unable to find a route to match the URI: login!init.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: login!init.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-24 03:58:04 uri:/admin/index.jsp; code:404; msg:Unable to find a route to match the URI: admin/index.jsp-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: admin/index.jsp ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-24 03:58:04 uri:/license!getExpireDateOfDays.action; code:404; msg:Unable to find a route to match the URI: license!getExpireDateOfDays.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: license!getExpireDateOfDays.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-24 03:58:04 uri:/userAction_loginUI.action; code:404; msg:Unable to find a route to match the URI: userAction_loginUI.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: userAction_loginUI.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-24 03:58:04 uri:/unAuthorizedAccess.action; code:404; msg:Unable to find a route to match the URI: unAuthorizedAccess.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: unAuthorizedAccess.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-24 04:38:29 uri:/login.action; code:404; msg:Unable to find a route to match the URI: login.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: login.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-24 04:38:29 uri:/index.action; code:404; msg:Unable to find a route to match the URI: index.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: index.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
2015-04-24 04:38:29 uri:/news.action; code:404; msg:Unable to find a route to match the URI: news.action-HTTP_Exception_404 [ 404 ]: Unable to find a route to match the URI: news.action ~ SYSPATH/classes/kohana/request.php [ 1124 ]; referer:
